1;Omelette;350;20;Breakfast;3 eggs, 1/4 cup chopped onions, 1/4 cup chopped tomatoes, 1/4 cup shredded cheddar cheese
2;Greek Yogurt;150;18;Breakfast;1 cup plain greek yogurt, 1/2 cup mixed berries, 1 tbsp honey
3;Cereal and Milk;300;10;Breakfast;1 cup cereal, 1 cup milk
4;Scrambled Eggs and Toast;400;18;Breakfast;2 eggs scrambled, 2 slices whole wheat toast with butter
5;Smoothie Bowl;400;10;Breakfast;1 frozen banana, 1 cup frozen mixed berries, 1/2 cup almond milk, 1 scoop protein powder, 1/4 cup granola, 1 tbsp almond butter
6;Avocado Toast;350;8;Breakfast;2 slices whole wheat toast, 1 avocado, 1/4 tsp red pepper flakes, 1/4 tsp salt, 1/4 tsp black pepper
7;Pancakes;400;10;Breakfast;2 pancakes, 1/4 cup maple syrup, 1/4 cup mixed berries
8;French Toast;350;15;Breakfast;2 slices whole wheat bread, 1 egg, 1/2 cup milk, 1/2 tsp vanilla extract, 1/4 tsp cinnamon, 1 tbsp butter
9;Breakfast Burrito;500;25;Breakfast;1 tortilla, 2 scrambled eggs, 1/4 cup black beans, 1/4 cup salsa, 1/4 cup shredded cheddar cheese
10;Bagel with Cream Cheese;350;10;Breakfast;1 bagel, 2 tbsp cream cheese, 1/4 cup sliced tomatoes, 1/4 cup sliced cucumbers
11;Turkey Sandwich;400;30;Lunch;2 slices whole wheat bread, 4 slices turkey breast, 1/4 cup lettuce, 1/4 cup sliced tomatoes, 1/4 cup sliced cucumbers, 1 tbsp mayonnaise
12;Grilled Chicken Salad;350;25;Lunch;4 oz grilled chicken, 2 cups mixed greens, 1/4 cup sliced almonds, 1/4 cup sliced strawberries, 2 tbsp balsamic vinaigrette
13;Tuna Salad Sandwich;400;20;Lunch;2 slices whole wheat bread, 1 can tuna, 1 tbsp mayonnaise, 1 tbsp relish, 1/4 cup lettuce, 1/4 cup sliced tomatoes
14;Vegetable Soup;200;5;Lunch;1 cup vegetable soup, 4 crackers
15;Hummus and Pita;350;8;Lunch;1 pita, 1/4 cup hummus, 1/4 cup sliced cucumbers, 1/4 cup sliced bell peppers
16;Turkey Wrap;450;25;Lunch;1 tortilla, 4 slices turkey breast, 1/4 cup lettuce, 1/4 cup sliced tomatoes, 1/4 cup sliced cucumbers, 1 tbsp mayonnaise
17;Chicken Caesar Salad;400;30;Lunch;4 oz grilled chicken, 2 cups romaine lettuce, 1/4 cup croutons
18;Roasted Vegetable Salad;350;8;Lunch;2 cups mixed greens, 1 cup roasted vegetables (such as bell peppers, zucchini, and eggplant), 1/4 cup crumbled feta cheese, 2 tbsp balsamic vinaigrette
19;Taco Salad;500;25;Lunch;2 cups mixed greens, 1/2 cup ground beef, 1/4 cup shredded cheddar cheese, 1/4 cup salsa, 1/4 cup sour cream, 1/4 cup tortilla chips
20;Grilled Cheese and Tomato Soup;450;15;Lunch;2 slices whole wheat bread, 1/4 cup shredded cheddar cheese, 1 cup tomato soup
21;Pesto Pasta Salad;400;10;Lunch;1 cup cooked pasta, 1/4 cup pesto, 1/4 cup cherry tomatoes, 1/4 cup sliced olives, 1/4 cup crumbled feta cheese
22;Quinoa Bowl;500;20;Lunch;1 cup cooked quinoa, 1/2 cup grilled chicken, 1/4 cup sliced avocado, 1/4 cup roasted sweet potato, 1/4 cup sliced almonds, 2 tbsp balsamic vinaigrette
23;Veggie Burger;450;20;Lunch;1 veggie burger patty, 1 whole wheat bun, 1 slice cheddar cheese, 1/4 cup sliced avocado, 1/4 cup sliced tomatoes, 1/4 cup sliced onions
24;Chicken and Broccoli Stir-Fry;400;30;Dinner;4 oz grilled chicken, 1 cup broccoli, 1/4 cup sliced bell peppers, 1/4 cup sliced onions, 2 tbsp soy sauce, 1 tsp honey, 1/2 tsp sesame oil
25;Beef and Vegetable Stir-Fry;450;25;Dinner;4 oz lean beef, 1 cup mixed vegetables (such as snow peas, carrots, and mushrooms), 2 tbsp stir-fry sauce, 1 cup brown rice
26;Salmon and Asparagus;350;25;Dinner;6 oz grilled salmon, 1 cup roasted asparagus, 1/4 cup quinoa
27;Baked Chicken and Sweet Potato;400;30;Dinner;4 oz baked chicken breast, 1 cup roasted sweet potato, 1/4 cup steamed green beans
28;Beef Stew;350;20;Dinner;1 cup beef stew, 1 slice whole wheat bread
29;Spaghetti and Meatballs;450;25;Dinner;1 cup cooked spaghetti, 3 meatballs, 1/4 cup marinara sauce, 1/4 cup grated parmesan cheese
30;Tofu and Vegetable Stir-Fry;350;20;Dinner;4 oz firm tofu, 1 cup mixed vegetables (such as broccoli, bell peppers, and mushrooms), 2 tbsp stir-fry sauce, 1 cup brown rice
31;Shrimp Scampi;350;20;Dinner;6 oz grilled shrimp, 1 cup cooked linguine, 2 tbsp butter, 1 tbsp minced garlic, 1/4 cup chopped parsley
32;Beef and Broccoli Stir-Fry;400;25;Dinner;4 oz lean beef, 1 cup broccoli, 2 tbsp soy sauce, 1 tsp honey, 1/2 tsp sesame oil, 1 cup brown rice
33;Greek Yogurt and Berries;150;10;Breakfast;1 cup plain Greek yogurt, 1/2 cup mixed berries, 1 tbsp honey
34;Spinach and Mushroom Omelet;300;20;Breakfast;3 eggs, 1/2 cup spinach, 1/4 cup sliced mushrooms, 1/4 cup shredded cheddar cheese
35;Whole Wheat Pancakes with Blueberries;400;10;Breakfast;2 whole wheat pancakes, 1/4 cup blueberries, 2 tbsp maple syrup
36;Avocado Toast with Egg;350;15;Breakfast;1 slice whole wheat toast, 1/4 mashed avocado, 1 poached egg, 1/4 cup cherry tomatoes
37;Oatmeal with Almonds and Banana;350;10;Breakfast;1/2 cup oats, 1/4 cup sliced almonds, 1/2 sliced banana, 1 tbsp honey
38;Protein Smoothie;300;25;Breakfast;1 scoop protein powder, 1/2 cup frozen mixed berries, 1/2 banana, 1 cup almond milk
39;Egg Salad Sandwich;350;15;Lunch;2 slices whole wheat bread, 2 hard boiled eggs, 1 tbsp mayonnaise, 1/2 cup mixed greens
40;Tuna Salad Lettuce Wraps;250;20;Lunch;1 can tuna, 1/4 cup diced celery, 1/4 cup diced red onion, 1 tbsp mayonnaise, 4 large lettuce leaves
41;Chicken Caesar Salad;400;30;Lunch;2 cups romaine lettuce, 4 oz grilled chicken, 1/4 cup croutons, 2 tbsp Caesar dressing, 1/4 cup grated parmesan cheese
42;Hummus and Veggie Wrap;350;10;Lunch;1 whole wheat tortilla, 1/4 cup hummus, 1/4 cup sliced cucumber, 1/4 cup sliced red bell pepper, 1/4 cup mixed greens
43;Turkey and Cheese Sandwich;400;20;Lunch;2 slices whole wheat bread, 2 oz turkey breast, 1 slice cheddar cheese, 1/4 cup sliced avocado, 1/4 cup mixed greens
44;Buffalo Chicken Wrap;450;25;Lunch;1 whole wheat tortilla, 4 oz grilled chicken, 2 tbsp buffalo sauce, 1/4 cup crumbled blue cheese, 1/4 cup sliced celery
45;Veggie Omelet;300;15;Breakfast;3 eggs, 1/4 cup sliced mushrooms, 1/4 cup diced bell peppers, 1/4 cup diced onions, 1/4 cup shredded cheddar cheese
46;Cottage Cheese with Pineapple;200;15;Breakfast;1 cup cottage cheese, 1/2 cup diced pineapple
47;Apple Cinnamon Oatmeal;350;10;Breakfast;1/2 cup oats, 1/2 diced apple, 1 tbsp honey, 1/2 tsp cinnamon
48;Peanut Butter Banana Toast;300;10;Breakfast;1 slice whole wheat toast, 1/4 cup peanut butter, 1/2 sliced banana
49;Scrambled Eggs and Bacon;350;20;Breakfast;2 eggs, 2 slices bacon, 1 slice whole wheat toast
50;Green Smoothie;250;10;Snack;1/2 banana, 1/2 cup frozen spinach, 1 scoop vanilla protein powder, 1/2 cup almond milk
51;Roasted Chickpeas;200;10;Snack;1 can chickpeas, 1 tbsp olive oil, 1/2 tsp paprika, 1/2 tsp garlic powder
52;Mixed Nuts;200;5;Snack;1/4 cup mixed nuts (almonds, cashews, peanuts)
